ZDMC,ZFY
眼恶性肿瘤,822.5450000000001
眼损伤,608.58
眼球挫伤,1045.96
眼球破裂,1162.13
眼球破裂伤,5829.15
眼眶疾患,6208.8
眼眶肿物,2067.72
眼睑炎,29.49333333333333
眼睑疾患,2942.0099999999998
眼睑粘连性瘢痕,1003.36
眼睑肿物,792.635
"睡眠障碍,其他的",15.42
睾丸炎,1097.21
睾丸炎、附睾炎和附睾-睾丸炎伴脓肿,2972.385
睾丸鞘膜积液,1872.8
短暂性脑缺血发作,1965.5107142857144
矽肺,28214.21
硬膜下血肿,5619.17
硬膜外囊肿,733.12
确认妊娠,40.769166666666656
社区获得性肺炎，重症,1116.07
社区获得性肺炎，非重症,1824.1239999999998
